seasoncollected,yearcollected,waterbody,decimallongitude,decimallatitude,scientificname,rankname,scientificnameaccepted,scientificnameauthorship,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,sea
spring,1994,Baltic Sea,13.425,55.22333333,Capitella,Genus,Capitella,"Blainville, 1828",Animalia,Annelida,Polychaeta,,Capitellidae,Capitella,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Macoma balthica,Species,Macoma balthica,"(Linnaeus, 1758)",Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,,balthica,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Bacillariophyceae,Class,Bacillariophyceae,"Haeckel, 1878",Chromista,Ochrophyta,Bacillariophyceae,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Nemertea,Phylum,Nemertea,,Animalia,Nemertea,,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Cladocera,Superorder,Diplostraca,"Gerstaecker, 1866",Animalia,Arthropoda,Branchiopoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Foraminifera,Phylum,Foraminifera,"d'Orbigny, 1826",Chromista,Foraminifera,,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Acari,Subclass,Acari,"Leach, 1817",Animalia,Arthropoda,Arachnida,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Harpacticoida,Order,Harpacticoida,"Sars G.O., 1903",Animalia,Arthropoda,Copepoda,Harpacticoida,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Halicryptus,Genus,Halicryptus,"von Siebold, 1849",Animalia,Priapulida,,Halicryptomorpha,Halicryptidae,Halicryptus,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Arachnida,Class,Arachnida,"Cuvier, 1812",Animalia,Arthropoda,Arachnida,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Nematoda,Phylum,Nematoda,,Animalia,Nematoda,,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Ostracoda,Class,Ostracoda,"Latreille, 1802",Animalia,Arthropoda,Ostracoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Copepoda,Class,Copepoda,"Milne Edwards, 1840",Animalia,Arthropoda,Copepoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Copepoda,Class,Copepoda,"Milne Edwards, 1840",Animalia,Arthropoda,Copepoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Turbellaria,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Diastylis,Genus,Diastylis,"Say, 1818",Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Ostracoda,Class,Ostracoda,"Latreille, 1802",Animalia,Arthropoda,Ostracoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Harmothoe,Genus,Harmothoe,"Kinberg, 1856",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Mytilus edulis,Species,Mytilus edulis,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,edulis,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Ampharete,Genus,Ampharete,"Malmgren, 1865",Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Turbellaria,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Acari,Subclass,Acari,"Leach, 1817",Animalia,Arthropoda,Arachnida,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Polychaeta,Class,Polychaeta,"Grube, 1850",Animalia,Annelida,Polychaeta,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Pontoporeia femorata,Species,Pontoporeia femorata,"Krøyer, 1842",Animalia,Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Pontoporeia,,femorata,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Halicryptus,Genus,Halicryptus,"von Siebold, 1849",Animalia,Priapulida,,Halicryptomorpha,Halicryptidae,Halicryptus,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Halicryptus,Genus,Halicryptus,"von Siebold, 1849",Animalia,Priapulida,,Halicryptomorpha,Halicryptidae,Halicryptus,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Harpacticoida,Order,Harpacticoida,"Sars G.O., 1903",Animalia,Arthropoda,Copepoda,Harpacticoida,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Nematoda,Phylum,Nematoda,,Animalia,Nematoda,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Terebellidae,Family,Terebellidae,"Johnston, 1846",Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Gammarus,Genus,Gammarus,"Fabricius, 1775",Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Prostoma,Genus,Prostoma,"Dugès, 1828",Animalia,Nemertea,Hoplonemertea,Monostilifera,Prostomatidae,Prostoma,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Pygospio,Genus,Pygospio,"Claparède, 1863",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pygospio,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Bacillariophyceae,Class,Bacillariophyceae,"Haeckel, 1878",Chromista,Ochrophyta,Bacillariophyceae,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Macoma balthica,Species,Macoma balthica,"(Linnaeus, 1758)",Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,,balthica,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Astarte,Genus,Astarte,"J. Sowerby, 1816",Animalia,Mollusca,Bivalvia,Carditida,Astartidae,Astarte,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Saduria entomon,Species,Saduria entomon,"(Linnaeus, 1758)",Animalia,Arthropoda,Malacostraca,Isopoda,Chaetiliidae,Saduria,,entomon,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Macoma balthica,Species,Macoma balthica,"(Linnaeus, 1758)",Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,,balthica,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Bacillariophyceae,Class,Bacillariophyceae,"Haeckel, 1878",Chromista,Ochrophyta,Bacillariophyceae,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Cladocera,Superorder,Diplostraca,"Gerstaecker, 1866",Animalia,Arthropoda,Branchiopoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Foraminifera,Phylum,Foraminifera,"d'Orbigny, 1826",Chromista,Foraminifera,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Alkmaria rominji,Species,Alkmaria romijni,"Horst, 1919",Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Alkmaria,,romijni,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Harmothoe,Genus,Harmothoe,"Kinberg, 1856",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,,,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Scoloplos,Genus,Scoloplos,"Blainville, 1828",Animalia,Annelida,Polychaeta,,Orbiniidae,Scoloplos,,,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Priapulida,Phylum,Priapulida,"Théel, 1906",Animalia,Priapulida,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Aricidea,Genus,Aricidea,"Webster, 1879",Animalia,Annelida,Polychaeta,,Paraonidae,Aricidea,,,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Polychaeta,Class,Polychaeta,"Grube, 1850",Animalia,Annelida,Polychaeta,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Pontoporeia femorata,Species,Pontoporeia femorata,"Krøyer, 1842",Animalia,Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Pontoporeia,,femorata,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Nematoda,Phylum,Nematoda,,Animalia,Nematoda,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.865,55.61666667,Trochochaeta multisetosa,Species,Trochochaeta multisetosa,"(Örsted, 1844)",Animalia,Annelida,Polychaeta,Spionida,Trochochaetidae,Trochochaeta,,multisetosa,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Oligochaeta,Subclass,Oligochaeta,"Grube, 1850",Animalia,Annelida,Clitellata,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Acari,Subclass,Acari,"Leach, 1817",Animalia,Arthropoda,Arachnida,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Pontoporeia femorata,Species,Pontoporeia femorata,"Krøyer, 1842",Animalia,Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Pontoporeia,,femorata,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Halicryptus,Genus,Halicryptus,"von Siebold, 1849",Animalia,Priapulida,,Halicryptomorpha,Halicryptidae,Halicryptus,,,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Harpacticoida,Order,Harpacticoida,"Sars G.O., 1903",Animalia,Arthropoda,Copepoda,Harpacticoida,,,,,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Terebellidae,Family,Terebellidae,"Johnston, 1846",Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,,,,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Nematoda,Phylum,Nematoda,,Animalia,Nematoda,,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Mytilus edulis,Species,Mytilus edulis,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,edulis,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Harmothoe,Genus,Harmothoe,"Kinberg, 1856",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,,,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Ostracoda,Class,Ostracoda,"Latreille, 1802",Animalia,Arthropoda,Ostracoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Turbellaria,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Pygospio,Genus,Pygospio,"Claparède, 1863",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pygospio,,,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Nemertea,Phylum,Nemertea,,Animalia,Nemertea,,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Macoma balthica,Species,Macoma balthica,"(Linnaeus, 1758)",Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,,balthica,Baltic Sea
spring,1994,Baltic Sea,15.72666667,55.75,Bacillariophyceae,Class,Bacillariophyceae,"Haeckel, 1878",Chromista,Ochrophyta,Bacillariophyceae,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Monoporeia affinis,Species,Monoporeia affinis,"(Lindström, 1855)",Animalia,Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Monoporeia,,affinis,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Pygospio,Genus,Pygospio,"Claparède, 1863",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pygospio,,,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Bacillariophyceae,Class,Bacillariophyceae,"Haeckel, 1878",Chromista,Ochrophyta,Bacillariophyceae,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Macoma balthica,Species,Macoma balthica,"(Linnaeus, 1758)",Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,,balthica,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Saduria entomon,Species,Saduria entomon,"(Linnaeus, 1758)",Animalia,Arthropoda,Malacostraca,Isopoda,Chaetiliidae,Saduria,,entomon,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Alkmaria rominji,Species,Alkmaria romijni,"Horst, 1919",Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Alkmaria,,romijni,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Ostracoda,Class,Ostracoda,"Latreille, 1802",Animalia,Arthropoda,Ostracoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Diastylis,Genus,Diastylis,"Say, 1818",Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,,,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Mytilus edulis,Species,Mytilus edulis,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,edulis,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Harmothoe,Genus,Harmothoe,"Kinberg, 1856",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,,,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Turbellaria,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Acari,Subclass,Acari,"Leach, 1817",Animalia,Arthropoda,Arachnida,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Oligochaeta,Subclass,Oligochaeta,"Grube, 1850",Animalia,Annelida,Clitellata,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Polychaeta,Class,Polychaeta,"Grube, 1850",Animalia,Annelida,Polychaeta,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Pontoporeia femorata,Species,Pontoporeia femorata,"Krøyer, 1842",Animalia,Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Pontoporeia,,femorata,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Halicryptus,Genus,Halicryptus,"von Siebold, 1849",Animalia,Priapulida,,Halicryptomorpha,Halicryptidae,Halicryptus,,,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Nematoda,Phylum,Nematoda,,Animalia,Nematoda,,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.8,55.83166667,Terebellidae,Family,Terebellidae,"Johnston, 1846",Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,,,,Baltic Sea
spring,1994,Baltic Sea,15.99166667,55.25,Harmothoe,Genus,Harmothoe,"Kinberg, 1856",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,,,Baltic Sea
spring,1994,Baltic Sea,15.99166667,55.25,Scoloplos,Genus,Scoloplos,"Blainville, 1828",Animalia,Annelida,Polychaeta,,Orbiniidae,Scoloplos,,,Baltic Sea
spring,1994,Baltic Sea,15.99166667,55.25,Scoloplos,Genus,Scoloplos,"Blainville, 1828",Animalia,Annelida,Polychaeta,,Orbiniidae,Scoloplos,,,Baltic Sea
spring,1994,Baltic Sea,15.99166667,55.25,Harmothoe,Genus,Harmothoe,"Kinberg, 1856",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,,,Baltic Sea
spring,1994,Baltic Sea,15.99166667,55.25,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.99166667,55.25,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,15.99166667,55.25,Mysida,Order,Mysida,"Boas, 1883",Animalia,Arthropoda,Malacostraca,Mysida,,,,,Baltic Sea
spring,1994,Baltic Sea,15.99166667,55.25,Mysida,Order,Mysida,"Boas, 1883",Animalia,Arthropoda,Malacostraca,Mysida,,,,,Baltic Sea
spring,1994,Baltic Sea,16.065,55.66666667,Harmothoe,Genus,Harmothoe,"Kinberg, 1856",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,,,Baltic Sea
spring,1994,Baltic Sea,16.065,55.66666667,Scoloplos,Genus,Scoloplos,"Blainville, 1828",Animalia,Annelida,Polychaeta,,Orbiniidae,Scoloplos,,,Baltic Sea
spring,1994,Baltic Sea,16.065,55.66666667,Ostracoda,Class,Ostracoda,"Latreille, 1802",Animalia,Arthropoda,Ostracoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,16.065,55.66666667,Priapulida,Phylum,Priapulida,"Théel, 1906",Animalia,Priapulida,,,,,,,Baltic Sea
spring,1994,Baltic Sea,16.065,55.66666667,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,16.065,55.66666667,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,16.065,55.66666667,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,16.065,55.66666667,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,16.065,55.66666667,Aricidea,Genus,Aricidea,"Webster, 1879",Animalia,Annelida,Polychaeta,,Paraonidae,Aricidea,,,Baltic Sea
spring,1994,Baltic Sea,16.065,55.66666667,Polychaeta,Class,Polychaeta,"Grube, 1850",Animalia,Annelida,Polychaeta,,,,,,Baltic Sea
spring,1994,Baltic Sea,16.065,55.66666667,Acari,Subclass,Acari,"Leach, 1817",Animalia,Arthropoda,Arachnida,,,,,,Baltic Sea
spring,1994,Baltic Sea,16.065,55.66666667,Nematoda,Phylum,Nematoda,,Animalia,Nematoda,,,,,,,Baltic Sea
spring,1994,Baltic Sea,16.065,55.66666667,Trochochaeta multisetosa,Species,Trochochaeta multisetosa,"(Örsted, 1844)",Animalia,Annelida,Polychaeta,Spionida,Trochochaetidae,Trochochaeta,,multisetosa,Baltic Sea
spring,1994,Baltic Sea,16.065,55.66666667,Bacillariophyceae,Class,Bacillariophyceae,"Haeckel, 1878",Chromista,Ochrophyta,Bacillariophyceae,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.06666667,57.475,Bacillariophyceae,Class,Bacillariophyceae,"Haeckel, 1878",Chromista,Ochrophyta,Bacillariophyceae,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.06666667,57.475,Macoma balthica,Species,Macoma balthica,"(Linnaeus, 1758)",Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,,balthica,Baltic Sea
spring,1994,Baltic Sea,17.06666667,57.475,Priapulida,Phylum,Priapulida,"Théel, 1906",Animalia,Priapulida,,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.06666667,57.475,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.06666667,57.475,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.06666667,57.475,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.06666667,57.475,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.06666667,57.475,Acari,Subclass,Acari,"Leach, 1817",Animalia,Arthropoda,Arachnida,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.06666667,57.475,Pontoporeia femorata,Species,Pontoporeia femorata,"Krøyer, 1842",Animalia,Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Pontoporeia,,femorata,Baltic Sea
spring,1994,Baltic Sea,17.06666667,57.475,Harpacticoida,Order,Harpacticoida,"Sars G.O., 1903",Animalia,Arthropoda,Copepoda,Harpacticoida,,,,,Baltic Sea
spring,1994,Baltic Sea,17.06666667,57.475,Nematoda,Phylum,Nematoda,,Animalia,Nematoda,,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.165,56.94666667,Polychaeta,Class,Polychaeta,"Grube, 1850",Animalia,Annelida,Polychaeta,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.165,56.94666667,Harpacticoida,Order,Harpacticoida,"Sars G.O., 1903",Animalia,Arthropoda,Copepoda,Harpacticoida,,,,,Baltic Sea
spring,1994,Baltic Sea,17.165,56.94666667,Pontoporeia femorata,Species,Pontoporeia femorata,"Krøyer, 1842",Animalia,Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Pontoporeia,,femorata,Baltic Sea
spring,1994,Baltic Sea,17.165,56.94666667,Nematoda,Phylum,Nematoda,,Animalia,Nematoda,,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.165,56.94666667,Terebellidae,Family,Terebellidae,"Johnston, 1846",Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,,,,Baltic Sea
spring,1994,Baltic Sea,17.165,56.94666667,Harmothoe,Genus,Harmothoe,"Kinberg, 1856",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,,,Baltic Sea
spring,1994,Baltic Sea,17.165,56.94666667,Ostracoda,Class,Ostracoda,"Latreille, 1802",Animalia,Arthropoda,Ostracoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.165,56.94666667,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.165,56.94666667,Turbellaria,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.165,56.94666667,Priapulida,Phylum,Priapulida,"Théel, 1906",Animalia,Priapulida,,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.165,56.94666667,Bacillariophyceae,Class,Bacillariophyceae,"Haeckel, 1878",Chromista,Ochrophyta,Bacillariophyceae,,,,,,Baltic Sea
spring,1994,Baltic Sea,17.165,56.94666667,Saduria entomon,Species,Saduria entomon,"(Linnaeus, 1758)",Animalia,Arthropoda,Malacostraca,Isopoda,Chaetiliidae,Saduria,,entomon,Baltic Sea
spring,1994,Baltic Sea,17.165,56.94666667,Monoporeia affinis,Species,Monoporeia affinis,"(Lindström, 1855)",Animalia,Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Monoporeia,,affinis,Baltic Sea
summer,1994,Baltic Sea,17.57333333,58.82666667,Mytilus edulis,Species,Mytilus edulis,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,edulis,Baltic Sea
